Name,Cuisine,Link to Instagram Post,Link to Website,Location(s),Meal Type,Overall Rating,Price (pp),Size Rating 😍,Standout Menu Items,Vibes,Visited?
Juan Bowl & Tea,Japanese,https://www.instagram.com/p/CQf63tEn_Mx/?utm_source=ig_web_copy_link,N/A,Redfern,"Dinner, Lunch",9,$$,8,"Tonkatsu, Unagi Hitsumabushi, Wagyu, Sakura matcha Tiramisu","Date, Dine-In, Small Groups, Upscale Dining",Yes
Lox in a Box,"German, Polish",https://www.instagram.com/p/CMZFT7unEzb/?utm_source=ig_web_copy_link,https://www.loxinabox.com.au/,Bondi,"Breakfast, Brunch, Lunch",8,$,7,"Schnitz Bagel, Classic Lox Bagel","Casual Dining, Takeaway",Yes
Platform Eighty-Two,American,https://www.instagram.com/p/CMRYeJWswFH/?utm_source=ig_web_copy_link,https://www.platform82.com.au/,Concord West,Brunch,7,$$,10,"Breakfast Platter, American Platter","Casual Dining, Dine-In, Small Groups",Yes
Jimmy's Falafel,Middle Eastern,https://www.instagram.com/p/CNb1Y6Un_4-/?utm_source=ig_web_copy_link,https://merivale.com/venues/jimmys-falafel/,CBD,"Dinner, Lunch",8,"$, $$",8,"The Original Pita, Beef Shish","Casual Dining, Dine-In, Small Groups, Takeaway",Yes
Albee's Kitchen,Malaysian,https://www.instagram.com/p/CNFCwpYHxI1/?utm_source=ig_web_copy_link,https://albeeskitchen.com.au/,"Campsie, Kingsford","Dinner, Lunch",8,$,9,"Hainanese Chicken Laksa, Combination Crispy Noodle","Casual Dining, Dine-In, Larger Groups, Takeaway",Yes
5th Earl,Cafe,https://www.instagram.com/p/CM1fit9HjZ3/?utm_source=ig_web_copy_link,https://www.the5thearlrosebery.com/,Rosebery,"Breakfast, Brunch, Lunch",9,$$,9,"Breakfast Burger, Earl’s Burger, The Earl’s Breakfast, Brioche French Toast","Casual Dining, Dine-In, Small Groups",Yes
The Italian Bowl,Italian,https://www.instagram.com/p/CM9XiaCnBY4/?utm_source=ig_web_copy_link,https://theitalianbowl.com.au/,Newtown,"Dinner, Lunch",8,$$,9,Boscaiola,"Casual Dining, Dine-In, Small Groups",Yes
Chargrill Charlie's,"American, Western",https://www.instagram.com/p/CN4X_xjHTWD/?utm_source=ig_web_copy_link,https://chargrillcharlies.com/,"Annandale, Beecroft, Bondi, Coogee, Dee Why, Drummoyne, Frenchs Forest, Lane Cove, Mona Vale, Mosman, Neutral Bay, Randwick, Rose Bay, St Ives, Wahroonga, Willoughby, Woollahra","Dinner, Lunch",8,$,9,"Traditional Baked Dinner, 1/2 Chicken, Sweet Potato Wedges","Casual Dining, Takeaway",Yes
Bar Luca,American,https://www.instagram.com/p/COKhjRpHLYP/?utm_source=ig_web_copy_link,https://barluca.com.au/,"CBD, Darlinghurst, Newtown, Parramatta","Dinner, Lunch",10,$$,10,"Blame Canada, Mac Daddy, Mr Truffle","Casual Dining, Dine-In, Small Groups",Yes
Terra Cotta Roasters,Cafe,https://www.instagram.com/p/COpcU3bNZgt/?utm_source=ig_web_copy_link,https://terracottaroasters.com/,"Alexandria, Darlington","Breakfast, Brunch, Lunch",8,$,7,Morning Burger,"Casual Dining, Dine-In, Small Groups, Takeaway",Yes
